Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       29     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00       29     0.00     0.00  void std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      0.00     0.00       29     0.00     0.00  std::tuple<Villain*, std::default_delete<Villain> >::tuple<Villain*, std::default_delete<Villain>, true>()
  0.00      0.00     0.00       29     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<std::allocator<char> >(unsigned long, char, std::allocator<char> const&)
  0.00      0.00     0.00       29     0.00     0.00  std::_MakeUniq<Villain>::__single_object std::make_unique<Villain, char const (&) [8], int>(char const (&) [8], int&&)
  0.00      0.00     0.00       29     0.00     0.00  std::default_delete<Villain>& std::__get_helper<1ul, std::default_delete<Villain>>(std::_Tuple_impl<1ul, std::default_delete<Villain>>&)
  0.00      0.00     0.00       29     0.00     0.00  void std::__relocate_object_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.00     0.00       29     0.00     0.00  std::tuple_element<1ul, std::tuple<Villain*, std::default_delete<Villain> > >::type& std::get<1ul, Villain*, std::default_delete<Villain> >(std::tuple<Villain*, std::default_delete<Villain> >&)
  0.00      0.00     0.00       29     0.00     0.00  std::remove_reference<Villain*&>::type&& std::move<Villain*&>(Villain*&)
  0.00      0.00     0.00       29     0.00     0.00  char const (&std::forward<char const (&) [8]>(std::remove_reference<char const (&) [8]>::type&)) [8]
  0.00      0.00     0.00       29     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.00     0.00       27     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_range_check(unsigned long) const
